number_of_dates,percentage,symbol
0,-1,AAT
0,-1,ACG
0,-1,ACS
0,-1,AGE
0,-1,AIC
0,-1,AMP
0,-1,ATG
0,-1,AUM
0,-1,BAF
0,-1,BBH
0,-1,BBM
0,-1,BCA
0,-1,BCB
0,-1,BCV
0,-1,BDB
0,-1,BED
0,-1,BHC
0,-1,BHG
0,-1,BIG
0,-1,BIO
0,-1,BLN
0,-1,BLT
0,-1,BLW
0,-1,BMD
0,-1,BMG
0,-1,BMN
0,-1,BNW
0,-1,BRS
0,-1,BSC
0,-1,BSD
0,-1,BVL
0,-1,BVN
0,-1,CAB
0,-1,CAG
0,-1,CAR
0,-1,CCT
0,-1,CDG
0,-1,CDH
0,-1,CDR
0,-1,CE1
0,-1,CEG
0,-1,CFM
0,-1,CFV
0,-1,CH5
0,-1,CHC
0,-1,CIP
0,-1,CMF
0,-1,CMK
0,-1,CMP
0,-1,CMW
0,-1,CNA
0,-1,CPA
0,-1,CPH
0,-1,CST
0,-1,CTA
0,-1,CVP
0,-1,DAN
0,-1,DBW
0,-1,DCH
0,-1,DDH
0,-1,DFF
0,-1,DHB
0,-1,DLR
0,-1,DLT
0,-1,DM7
0,-1,DMN
0,-1,DNN
0,-1,DOC
0,-1,DPD
0,-1,DPS
0,-1,DSD
0,-1,DTG
0,-1,DTH
0,-1,DVG
0,-1,DVM
0,-1,DVW
0,-1,DWC
0,-1,DXL
0,-1,DXS
0,-1,E12
0,-1,EMG
0,-1,EPC
0,-1,FBA
0,-1,FBC
0,-1,FCC
0,-1,FCS
0,-1,FGL
0,-1,FRC
0,-1,FSO
0,-1,FTI
0,-1,GE2
0,-1,GEE
0,-1,GH3
0,-1,GLC
0,-1,GLW
0,-1,GMH
0,-1,GTD
0,-1,HAM
0,-1,HC1
0,-1,HCI
0,-1,HDW
0,-1,HFX
0,-1,HGT
0,-1,HHN
0,-1,HHR
0,-1,HKB
0,-1,HLR
0,-1,HLS
0,-1,HLT
0,-1,HLY
0,-1,HMG
0,-1,HMR
0,-1,HNR
0,-1,HRB
0,-1,HSP
0,-1,HSV
0,-1,HTR
0,-1,HTW
0,-1,IBD
0,-1,IBN
0,-1,IDP
0,-1,IRC
0,-1,KAC
0,-1,KHG
0,-1,KSF
0,-1,L40
0,-1,L45
0,-1,L62
0,-1,LAI
0,-1,LAW
0,-1,LCC
0,-1,LCD
0,-1,LCW
0,-1,LDW
0,-1,LG9
0,-1,LNC
0,-1,LPT
0,-1,LQN
0,-1,LSG
0,-1,LWS
0,-1,LYF
0,-1,MBN
0,-1,MCI
0,-1,MDA
0,-1,MEF
0,-1,MEL
0,-1,MES
0,-1,MGC
0,-1,MGR
0,-1,MIE
0,-1,MLC
0,-1,MPY
0,-1,MQB
0,-1,MTB
0,-1,MTC
0,-1,MTS
0,-1,NAC
0,-1,NAU
0,-1,NBT
0,-1,NDW
0,-1,NFC
0,-1,NHV
0,-1,NLS
0,-1,NQT
0,-1,NSS
0,-1,NTF
0,-1,NTT
0,-1,NVP
0,-1,NWT
0,-1,NXT
0,-1,OCB
0,-1,ODE
0,-1,ONW
0,-1,PAI
0,-1,PAP
0,-1,PAT
0,-1,PBT
0,-1,PCH
0,-1,PEC
0,-1,PID
0,-1,PLA
0,-1,PLE
0,-1,PLO
0,-1,PPT
0,-1,PQN
0,-1,PSN
0,-1,PTD
0,-1,PTG
0,-1,PTH
0,-1,PTN
0,-1,PTX
0,-1,PX1
0,-1,PXC
0,-1,QLT
0,-1,QNT
0,-1,QNU
0,-1,QNW
0,-1,RBC
0,-1,S72
0,-1,SAL
0,-1,SBM
0,-1,SCG
0,-1,SCO
0,-1,SCV
0,-1,SCY
0,-1,SDB
0,-1,SDY
0,-1,SEP
0,-1,SGI
0,-1,SHX
0,-1,SJC
0,-1,SPH
0,-1,SQC
0,-1,SSB
0,-1,SSF
0,-1,SSH
0,-1,STW
0,-1,SVD
0,-1,SVH
0,-1,SZG
0,-1,TA3
0,-1,TAG
0,-1,TAN
0,-1,TAW
0,-1,TB8
0,-1,TBH
0,-1,TBR
0,-1,TBX
0,-1,TCK
0,-1,TED
0,-1,TET
0,-1,THN
0,-1,THS
0,-1,TIN
0,-1,TKA
0,-1,TKG
0,-1,TNH
0,-1,TNP
0,-1,TOS
0,-1,TQW
0,-1,TS3
0,-1,TTS
0,-1,TV6
0,-1,TVW
0,-1,TW3
0,-1,UDL
0,-1,UEM
0,-1,UMC
0,-1,USC
0,-1,VAB
0,-1,VAT
0,-1,VBG
0,-1,VBH
0,-1,VCE
0,-1,VCT
0,-1,VDB
0,-1,VGL
0,-1,VHF
0,-1,VHH
0,-1,VIR
0,-1,VKP
0,-1,VLF
0,-1,VLP
0,-1,VMA
0,-1,VNY
0,-1,VPW
0,-1,VTG
0,-1,VTM
0,-1,VTQ
0,-1,VTS
0,-1,VTZ
0,-1,VUA
0,-1,VVS
0,-1,X77
0,-1,XDH
0,-1,XMD
0,-1,XMP
2,0.0,AGX
2,0.0,APL
1,0.0,APT
4,0.0,ATA
1,0.0,BEL
1,0.0,BHK
1,0.0,BKG
1,0.0,BMV
2,0.0,BQB
1,0.0,BT1
1,0.0,BTG
1,0.0,BXH
