number_of_dates,percentage,symbol
0,-1,AAS
0,-1,AAT
0,-1,ABB
0,-1,ABS
0,-1,ACG
0,-1,ACS
0,-1,ADG
0,-1,AG1
0,-1,AGE
0,-1,AGG
0,-1,AIC
0,-1,APH
0,-1,APL
0,-1,APT
0,-1,ASA
0,-1,ASG
0,-1,AUM
0,-1,BAF
0,-1,BAL
0,-1,BBH
0,-1,BBM
0,-1,BCA
0,-1,BCB
0,-1,BCF
0,-1,BCV
0,-1,BGW
0,-1,BHG
0,-1,BIG
0,-1,BIO
0,-1,BKC
0,-1,BKG
0,-1,BKH
0,-1,BLN
0,-1,BLW
0,-1,BMF
0,-1,BMG
0,-1,BMN
0,-1,BMV
0,-1,BNA
0,-1,BNW
0,-1,BOT
0,-1,BRS
0,-1,BSD
0,-1,BTB
0,-1,BTG
0,-1,BTU
0,-1,BTV
0,-1,BVB
0,-1,BVL
0,-1,C22
0,-1,C4G
0,-1,CAB
0,-1,CAG
0,-1,CAR
0,-1,CCA
0,-1,CCT
0,-1,CDG
0,-1,CDH
0,-1,CE1
0,-1,CFM
0,-1,CFV
0,-1,CH5
0,-1,CHC
0,-1,CKG
0,-1,CKV
0,-1,CMD
0,-1,CMF
0,-1,CMK
0,-1,CMN
0,-1,CMP
0,-1,CNA
0,-1,CPA
0,-1,CPH
0,-1,CQN
0,-1,CSI
0,-1,CST
0,-1,CT6
0,-1,CTA
0,-1,CTW
0,-1,CVP
0,-1,CX8
0,-1,DAC
0,-1,DAN
0,-1,DAS
0,-1,DBW
0,-1,DCG
0,-1,DCH
0,-1,DCR
0,-1,DDG
0,-1,DDH
0,-1,DFF
0,-1,DKC
0,-1,DLD
0,-1,DLR
0,-1,DLT
0,-1,DM7
0,-1,DMN
0,-1,DNN
0,-1,DNT
0,-1,DP1
0,-1,DP2
0,-1,DPD
0,-1,DRG
0,-1,DSD
0,-1,DSG
0,-1,DTB
0,-1,DTE
0,-1,DTH
0,-1,DTI
0,-1,DTK
0,-1,DTP
0,-1,DUS
0,-1,DVG
0,-1,DVM
0,-1,DWC
0,-1,DWS
0,-1,DXS
0,-1,E12
0,-1,E29
0,-1,EPC
0,-1,EPH
0,-1,FBA
0,-1,FCC
0,-1,FGL
0,-1,FHN
0,-1,FOC
0,-1,FRC
0,-1,FSO
0,-1,FTI
0,-1,GAB
0,-1,GCB
0,-1,GE2
0,-1,GEE
0,-1,GER
0,-1,GH3
0,-1,GIC
0,-1,GLC
0,-1,GLW
0,-1,GMA
0,-1,GMH
0,-1,GTD
0,-1,HAF
0,-1,HAV
0,-1,HC1
0,-1,HCB
0,-1,HD6
0,-1,HD8
0,-1,HDW
0,-1,HEP
0,-1,HES
0,-1,HFC
0,-1,HFX
0,-1,HGT
0,-1,HGW
0,-1,HHN
0,-1,HHR
0,-1,HHV
0,-1,HLR
0,-1,HLS
0,-1,HLT
0,-1,HMG
0,-1,HMR
0,-1,HNB
0,-1,HPH
0,-1,HRB
0,-1,HSP
0,-1,HSV
0,-1,HTP
0,-1,HTW
0,-1,HUB
0,-1,HUG
0,-1,IBD
0,-1,IBN
0,-1,ICT
0,-1,IDP
0,-1,ILB
0,-1,IPA
0,-1,IRC
0,-1,ISG
0,-1,KCB
0,-1,KGM
0,-1,KHD
0,-1,KHG
0,-1,KHW
0,-1,KIP
0,-1,KLM
0,-1,KMT
0,-1,KSF
0,-1,KST
0,-1,KSV
0,-1,L40
0,-1,L63
0,-1,LCC
0,-1,LCD
0,-1,LCW
0,-1,LDW
0,-1,LGM
0,-1,LNC
0,-1,LO5
0,-1,LPT
0,-1,LQN
0,-1,LSG
0,-1,LWS
0,-1,LYF
0,-1,MA1
0,-1,MBN
0,-1,MCI
0,-1,MCM
0,-1,MDA
0,-1,MDF
0,-1,MED
0,-1,MEF
0,-1,MEL
0,-1,MES
0,-1,MFS
0,-1,MGC
0,-1,MGR
0,-1,MIE
0,-1,MIM
0,-1,MKV
0,-1,MLC
0,-1,MLS
0,-1,MML
0,-1,MND
0,-1,MPY
0,-1,MQB
0,-1,MSB
0,-1,MTB
0,-1,MTC
0,-1,MTL
0,-1,MTS
0,-1,NAB
0,-1,NAC
0,-1,NAP
0,-1,NAU
0,-1,NAW
0,-1,NBT
0,-1,NDF
0,-1,NDW
0,-1,NHV
0,-1,NJC
0,-1,NLS
0,-1,NQB
0,-1,NQN
0,-1,NQT
0,-1,NSL
0,-1,NSS
0,-1,NTF
0,-1,NTH
0,-1,NTT
0,-1,NVP
0,-1,NWT
0,-1,NXT
0,-1,OCB
0,-1,ODE
0,-1,PAI
0,-1,PAP
0,-1,PAS
0,-1,PAT
0,-1,PBC
0,-1,PBT
0,-1,PCE
0,-1,PCF
0,-1,PCH
0,-1,PEC
0,-1,PEG
0,-1,PEN
0,-1,PGB
0,-1,PGN
0,-1,PHN
0,-1,PHS
0,-1,PID
0,-1,PLE
0,-1,PLO
0,-1,PMP
0,-1,PMW
0,-1,PND
0,-1,PNP
0,-1,PPT
0,-1,PQN
0,-1,PRC
0,-1,PRE
0,-1,PSH
0,-1,PSN
0,-1,PTG
0,-1,PTN
0,-1,PTO
0,-1,PTV
0,-1,PTX
0,-1,PWA
0,-1,PX1
0,-1,PXC
0,-1,QNT
0,-1,QNW
0,-1,QST
0,-1,RAT
0,-1,RBC
0,-1,RGC
0,-1,S27
0,-1,S72
0,-1,SAL
0,-1,SBR
0,-1,SCG
0,-1,SCO
0,-1,SCV
0,-1,SCY
0,-1,SDC
0,-1,SDP
0,-1,SDX
0,-1,SDY
0,-1,SGB
0,-1,SGI
0,-1,SGO
0,-1,SHE
0,-1,SHG
0,-1,SIG
0,-1,SIP
0,-1,SPB
0,-1,SPC
0,-1,SPD
0,-1,SPH
0,-1,SQC
0,-1,SSB
0,-1,SSG
0,-1,SSH
0,-1,STH
0,-1,STS
0,-1,SVD
0,-1,SVH
0,-1,SVN
0,-1,SZB
0,-1,SZC
0,-1,SZG
0,-1,TA3
0,-1,TAN
0,-1,TAR
0,-1,TB8
0,-1,TBH
0,-1,TBR
0,-1,TBT
0,-1,TCJ
0,-1,TCK
0,-1,TDF
0,-1,TED
0,-1,TET
0,-1,TH1
0,-1,THD
0,-1,THN
0,-1,THP
0,-1,THU
0,-1,THW
0,-1,TID
0,-1,TIN
0,-1,TKA
0,-1,TKG
0,-1,TLI
0,-1,TN1
0,-1,TNH
0,-1,TNP
0,-1,TOS
0,-1,TOW
0,-1,TPH
0,-1,TQW
0,-1,TR1
0,-1,TRT
0,-1,TS3
0,-1,TSD
0,-1,TTA
0,-1,TTE
0,-1,TTP
0,-1,TTS
0,-1,TV6
0,-1,TVH
0,-1,TVM
0,-1,TVW
0,-1,UCT
0,-1,UDL
0,-1,UEM
0,-1,UMC
0,-1,USC
0,-1,USD
0,-1,VAB
0,-1,VBB
0,-1,VBG
0,-1,VCE
0,-1,VCT
0,-1,VDB
0,-1,VDN
0,-1,VDT
0,-1,VFR
0,-1,VFS
0,-1,VHE
0,-1,VHF
0,-1,VHH
0,-1,VIR
0,-1,VIW
0,-1,VKP
0,-1,VLF
0,-1,VLP
0,-1,VMA
0,-1,VPA
0,-1,VPW
0,-1,VQC
0,-1,VTD
0,-1,VTG
0,-1,VTK
0,-1,VTM
0,-1,VTQ
0,-1,VTR
0,-1,VTZ
0,-1,VUA
0,-1,VVN
0,-1,VVS
0,-1,VW3
0,-1,VXB
0,-1,VXP
0,-1,VXT
0,-1,X77
0,-1,XDH
0,-1,XLV
0,-1,XMC
0,-1,XMD
0,-1,XMP
1,0.0,A32
1,0.0,ABR
2,0.0,ADC
1,0.0,B82
1,0.0,BAX
1,0.0,BEL
1,0.0,BHP
1,0.0,BMD
4,0.0,BQB
1,0.0,BRR
1,0.0,BSC
1,0.0,BST
1,0.0,BT1
1,0.0,BVN
1,0.0,BXH
1,0.0,CBI
1,0.0,CCV
1,0.0,CDR
2,0.0,CEG
1,0.0,CLM
1,0.0,CMW
1,0.0,CQT
1,0.0,DBM
2,0.0,DC2
1,0.0,DGT
3,0.0,DHN
1,0.0,DID
1,0.0,DNC
1,0.0,DNE
1,0.0,DXL
1,0.0,EFI
1,0.0,FBC
1,0.0,FCS
1,0.0,FIC
1,0.0,GTH
5,0.0,GTT
1,0.0,HAN
1,0.0,HBH
1,0.0,HCT
1,0.0,HEC
6,0.0,HEV
1,0.0,HFB
1,0.0,HKP
1,0.0,HNI
1,0.0,HNR
